Year,Annual_Return,Inflation_Rate,Real_Return
1928,0.37882223056972264,-0.011494252873563204,0.39485504720425424
1929,-0.11909649170836001,0.0,-0.11909649170836001
1930,-0.2848485031715339,-0.029069767441860517,-0.2634367817096037
1931,-0.47066494101766876,-0.08982035928143717,-0.4184279286180965
1932,-0.14778322982482572,-0.10526315789473684,-0.04752243333362871
1933,0.4407514677902016,-0.051470588235294046,0.5189317799958713
1934,-0.0471414497934487,0.03875968992248069,-0.0826958733086186
1935,0.4136842426500822,0.02238805970149249,0.38272765339497106
1936,0.2792256079513855,0.014598540145985384,0.2608194840959699
1937,-0.3859138531239439,0.03597122302158273,-0.40723628877936247
1938,0.24549764035667598,-0.02083333333333337,0.2719975901514988
1939,-0.051750402390311256,-0.014184397163120477,-0.03810652328801367
1940,-0.15088283376285672,0.007194244604316502,-0.1569479563788363
1941,-0.1786389751372236,0.050000000000000044,-0.21775140489259392
1942,0.12428088947418958,0.10884353741496611,0.013922029157704685
1943,0.1944728279946446,0.06134969325153383,0.1254281558562258
1944,0.13796055236946803,0.01734104046242768,0.11856349749953399
1945,0.3072289879080845,0.022727272727272707,0.2781794548434604
1946,-0.11866361446948026,0.08333333333333326,-0.18645872104875094
1947,0.0,0.14358974358974352,-0.12556053811659185
1948,-0.006535972563600612,0.08071748878923768,-0.0807366053181865
1949,0.10460533725092702,-0.012448132780083054,0.11852893393896391
1950,0.21679566355962354,0.012605042016806678,0.20164882957340424
1951,0.1634850760007931,0.07883817427385886,0.0784611666007351
1952,0.11779550623214319,0.023076923076923217,0.09258207376074123
1953,-0.06624012981169436,0.007518796992481258,-0.07320848705190564
1954,0.4502216975710711,0.003731343283581934,0.4448305388440412
1955,0.26403557867887417,-0.0037174721189590088,0.26875212934558634
1956,0.026165317473318295,0.014925373134328401,0.01107465103988714
1957,-0.14313256380034423,0.03308823529411775,-0.17057671656118734
1958,0.3805950679467285,0.028469750889679624,0.34237790343609253
1959,0.08476725924257433,0.01038062283737018,0.0736223901407671
1960,-0.029721135372135832,0.013698630136986356,-0.04283301192116107
1961,0.2312855326147094,0.010135135135135087,0.21893149717041482
1962,-0.1180992902477469,0.013377926421404673,-0.129741543841836
1963,0.18890647317264198,0.00990099009900991,0.1772505273572238
1964,0.1296987975516375,0.013071895424836555,0.11512203887355188
1965,0.09061947262744274,0.016129032258064502,0.07330805242700711
1966,-0.13090986080461509,0.031746031746031855,-0.15765109585678083
1967,0.20092118787191282,0.027692307692307683,0.1685610361029093
1968,0.07660411833873271,0.041916167664670656,0.033292458405565384
1969,-0.11361450974786269,0.054597701149425415,-0.15950367681813693
1970,0.0009776664096463605,0.05722070844686633,-0.05319895986510237
1971,0.1078675490767107,0.04381443298969079,0.06136446676978702
1972,0.15633271903589674,0.032098765432098775,0.12037021820463689
1973,-0.1736552263451614,0.062200956937799035,-0.22204478516278703
1974,-0.297180979869192,0.11036036036036023,-0.3670352029653574
1975,0.31549016413436637,0.09127789046653145,0.20545845895584125
1976,0.19148460112623034,0.05762081784386619,0.1265706773390367
1977,-0.11501954881495535,0.06502636203866441,-0.16905300870579143
